"Story","Title","Result","Date","Stability","Duration (s)"
"CT02 - Adicionar ao carrinho camisa selecao brasileira","Adicionar Camisa","SUCCESS","2018-02-14T14:23:34.574-02:00","0.0","58.84"
"CT04 - Adicionar item ao carrinho e calcular frete atq o CEP da RSI Matriz","Adicionar Item","SUCCESS","2018-02-14T14:26:02.456-02:00","0.0","75.05"
"CT01 - Adicionar tenis ao carrinho (qualquer um)","Adicionar Tenis","SUCCESS","2018-02-14T14:21:57.270-02:00","0.0","95.5"
"CT05 - Adicionar item no carrinho, Limpar Carrinho e voltar para loja","Adicionar item","SUCCESS","2018-02-14T14:27:18.039-02:00","0.0","73.77"
"CT03 - Escolher um calçado na secao outlet com valor abaixo de 150 reais","Escolher Calcado","SUCCESS","2018-02-14T14:24:33.787-02:00","0.0","88.06"
