"Story","Title","Result","Date","Stability","Duration (s)"
"CT02 - Adicionar ao carrinho camisa selecao brasileira","Adicionar Camisa","SUCCESS","2018-01-30T14:42:15.864-02:00","0.0","112.55"
"CT04 - Adicionar item ao carrinho e calcular frete atq o CEP da RSI Matriz","Adicionar Item","SUCCESS","2018-01-30T14:47:07.638-02:00","0.0","141.49"
"CT01 - Adicionar tenis ao carrinho (qualquer um)","Adicionar Tenis","SUCCESS","2018-01-30T14:38:52.246-02:00","0.0","197.6"
"CT05 - Adicionar item no carrinho, Limpar Carrinho e voltar para loja","Adicionar item","SUCCESS","2018-02-06T11:50:25.400-02:00","0.0","118.45"
"CT03 - Escolher um calçado na secao outlet com valor abaixo de 150 reais","Escolher Calcado","SUCCESS","2018-01-30T14:44:08.958-02:00","0.0","174.06"
