"Story","Title","Result","Date","Stability","Duration (s)"
"Buscar Agencia","Buscar Agencia","SUCCESS","2018-01-22T12:24:41.764-02:00","0.0","30.7"
"Buscar CEP (por endereço)","Buscar CEP","SUCCESS","2018-01-22T12:22:43.410-02:00","0.0","56.62"
"Buscar Endereco (por CEP)","Buscar Endereco","SUCCESS","2018-01-22T12:23:49.144-02:00","0.0","14.41"
"Calcular Preços e prazos - de CEP A a CEP B","Calcular Endereco","SUCCESS","2018-01-22T12:24:03.977-02:00","0.0","37.0"
"Calcular Preços e prazos - RSI Osasco ate a RSI Alphaville","Calcular Endereco","SUCCESS","2018-01-22T12:25:14.096-02:00","0.0","29.44"
