"Story","Title","Result","Date","Stability","Duration (s)"
"CT03 - Comprar ingresso","Comprar ingresso","SUCCESS","2018-02-06T13:04:57.787-02:00","0.0","99.63"
"CT04 - Consultar promoção trajeto Angra dos Reis - Rio de Janeiro","Consultar Promocao","SUCCESS","2018-02-06T13:06:38.266-02:00","0.0","27.08"
"CT02 -  Consultar vôo economico para Bahia","Consultar vôo","SUCCESS","2018-02-06T13:04:03.603-02:00","0.0","53.68"
"CT05 - Reservar hotel 5 estrelas São Paulo","Reservar hotel","SUCCESS","2018-02-06T13:07:06.054-02:00","0.0","117.98"
"CT01 - Selecionar hotel 5 estrelas Rio de Janeiro","Selecionar hotel","SUCCESS","2018-02-06T13:02:54.241-02:00","0.0","63.78"
